No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
43, KOREM 084/BJ,652813442811000,BPG 135 KOREM 084/BJ,31/01/2024,99.600.000.00, 251.186.994.059.21, , 
44,KODIM 0830/SURABAYA UTARA,652816850541000,BPG 135 KODIM 0830/SURABAYA UTARA,31/01/2024,0.00, 251.186.994.059.21, , 
45,KODIM 0831/SURABAYA TIMUR,652816850551000,BPG 135 KODIM 0831/SURABAYA TIMUR,31/01/2024,0.00, 251.186.994.059.21, , 
46, KODIM 0832/SURABAYA SELATAN,652816850571000,BPG 135 KODIM 0832/SURABAYA SELATAN,31/01/2024,0.00, 251.186.994.059.21, , 
47, PUSDIKLAT HANUDNAS,651663448151000,BPG 135 PUSDIKLAT HANUDNAS,31/01/2024,0.00, 251.186.994.059.21, , 
48, LANUD MULJONO,651663448401000,BPG 135 LANUD MULJONO,31/01/2024,0.00, 251.186.994.059.21, , 
49, KOGARTAP III/ SBY,8100126843351000,BPG 135 KOGARTAP III/ SBY,31/01/2024,0.00, 251.186.994.059.21, , 
50, BALAI HARTA PENINGGALAN SBY,9890680992991000,BPG 135 BALAI HARTA PENINGGALAN SBY,31/01/2024,7.173.431.00, 251.186.994.059.21, , 
51, KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,9890854087511000,BPG 135 KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,31/01/2024,8.025.000.00, 251.186.994.059.21, , 
52,KANWIL KEMENKUMHAM JATIM 408753,650894087531000,BPG 135 KANWIL KEMENKUMHAM JATIM 408753,31/01/2024,0.00, 251.186.994.059.21, , 
53, KANWIL KEMENKUMHAM JATIM 408754,650924087541000,BPG 135 KANWIL KEMENKUMHAM JATIM 408754,31/01/2024,0.00, 251.186.994.059.21, , 
54,KANWIL KEMENKUMHAM JATIM 408755,650854087551000,BPG 135 KANWIL KEMENKUMHAM JATIM 408755,31/01/2024,0.00, 251.186.994.059.21, , 
55,KANWIL KEMENKUMHAM JATIM 408756,650474087561000,BPG 135 KANWIL KEMENKUMHAM JATIM 408756,31/01/2024,0.00, 251.186.994.059.21, , 
56,KANWIL KEMENKUMHAM JATIM 408757,651064087571000,BPG 135 KANWIL KEMENKUMHAM JATIM 408757,31/01/2024,0.00, 251.186.994.059.21, , 
57, KANWIL KEMENKUMHAM JATIM 408758,653984087581000,BPG 135 KANWIL KEMENKUMHAM JATIM 408758,31/01/2024,0.00, 251.186.994.059.21, , 
58,KANWIL KEMENKUMHAM JATIM 408759,653574087591000,BPG 135 KANWIL KEMENKUMHAM JATIM 408759,31/01/2024,0.00, 251.186.994.059.21, , 
59,KANWIL KEMENKUMHAM JATIM 408760,653204087601000,BPG 135 KANWIL KEMENKUMHAM JATIM 408760,31/01/2024,0.00, 251.186.994.059.21, , 
60, KANIM TANJUNG PERAK SBY,9898014089531000,BPG 135 KANIM TANJUNG PERAK SBY,31/01/2024,111.755.795.00, 251.186.994.059.21, , 
61,RUTAN GRESIK,650925678691000,BPG 135 RUTAN GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
62, RUDENIM SURABAYA,8100126646331000,BPG 135 RUDENIM SURABAYA,31/01/2024,5.537.404.00, 251.186.994.059.21, , 
63,DIPERTA DAN KP 050040,0500401000,BPG 135 DIPERTA DAN KP 050040,31/01/2024,0.00, 251.186.994.059.21, , 
64, DIPERTA DAN KP 059000,8100120590001000,BPG 135 DIPERTA DAN KP 059000,31/01/2024,0.00, 251.186.994.059.21, , 
65,DIPERTA DAN KP 059004,8100120590041000,BPG 135 DIPERTA DAN KP 059004,31/01/2024,0.00, 251.186.994.059.21, , 
66,DIPERTA DAN KP 059106,8100120591061000 ,BPG 135 DIPERTA DAN KP 059106,31/01/2024,0.00, 251.186.994.059.21, , 
67, DIPERTA DAN KP 059178,8100120591781000,BPG 135 DIPERTA DAN KP 059178,31/01/2024,0.00, 251.186.994.059.21, , 
68, DIPERTA DAN KP 059179,8100120591791000,BPG 135 DIPERTA DAN KP 059179,31/01/2024,0.00, 251.186.994.059.21, , 
69,DISBUN JATIM 05DK,0591141000,BPG 135 DISBUN JATIM 05DK,31/01/2024,0.00, 251.186.994.059.21, , 
70,DISBUN JATIM 05TP,0591801000,BPG 135 DISBUN JATIM 05TP,31/01/2024,0.00, 251.186.994.059.21, , 
71,DNS PETERNAKAN JATIM 06 TP,80047000591811000,BPG 135 DNS PETERNAKAN JATIM 06 TP,31/01/2024,0.00, 251.186.994.059.21, , 
72, DIPERTA DAN KP 059185,8100120591851000,BPG 135 DIPERTA DAN KP 059185,31/01/2024,0.00, 251.186.994.059.21, , 
73,DINAS PETERNAKAN JATIM (059186),9890780591861000,BPG 135 DINAS PETERNAKAN JATIM (059186),31/01/2024,0.00, 251.186.994.059.21, , 
74,DISBUN JATIM (059187),0591871000,BPG 135 DISBUN JATIM (059187),31/01/2024,0.00, 251.186.994.059.21, , 
75,DIPERTA DAN KP 059444,8100120594441000,BPG 135 DIPERTA DAN KP 059444,31/01/2024,0.00, 251.186.994.059.21, , 
76,BPG 135 PUSVETMA SBY,8100122375511000,BPG 135 PUSVETMA SBY,31/01/2024,0.00, 251.186.994.059.21, , 
77,STAS KARANTN PERTAN BANGKALAN,8100125673711000,BPG 135 STAS KARANTN PERTAN BANGKALAN,31/01/2024,0.00, 251.186.994.059.21, , 
78,PPIKM DISPERINDG JATIM,8100120590291000,BPG 135 PPIKM DISPERINDG JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
79,BARISTAND INDUSTRI SBY,9891152472111000,BPG 135 BARISTAND INDUSTRI SBY,31/01/2024,10.625.000.00, 251.186.994.059.21, , 
80,BDI SURABAYA,8100125793441000,BPG 135 BDI SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
81,BPTD WILAYAH XI PROVINSI JATIM,9891204038511000,BPG 135 BPTD WILAYAH XI PROVINSI JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
82,KANTOR OTPEL UTAMA TJ PERAK,8100124128911000,BPG 135 KANTOR OTPEL UTAMA TJ PERAK,31/01/2024,0.00, 251.186.994.059.21, , 
83,KSOP GRESIK,9890274129051000,BPG 135 KSOP GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
84, DISTRIK NAVIGASI KELAS I SBY,8100124129511000,BPG 135 DISTRIK NAVIGASI KELAS I SBY,31/01/2024,44.428.000.00, 251.186.994.059.21, , 
85,KESYAHBANDARAN UTAMA T PERAK SBY,9890274134281000,BPG 135 KESYAHBANDARAN UTAMA T PERAK SBY,31/01/2024,60.000.000.00, 251.186.994.059.21, , 
86, KANPEL BAW EAN JATIM,6506944136891000,BPG 135 KANPEL BAW EAN JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
87,PPLP TANJUNG PERAK SBY,650695358411000,BPG 135 PPLP TANJUNG PERAK SBY,31/01/2024,0.00, 251.186.994.059.21, , 
88,BALAI TEKNIK PKERETAAPIAN JATIM,9891504673371000,BPG 135 BALAI TEKNIK PKERETAAPIAN JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
89,POLTEKBANG SURABAYA,8100125261811000,BPG 135 POLTEKBANG SURABAYA,31/01/2024,88.689.00, 251.186.994.059.21, , 
90, POLTEKPEL SURABAYA,9891465319541000,BPG 135 POLTEKPEL SURABAYA,31/01/2024,49.500.000.00, 251.186.994.059.21, , 
91, DINKES JATIM 01,0500091000,BPG 135 DINKES JATIM 01,31/01/2024,0.00, 251.186.994.059.21, , 
92, DINKES JATIM 04,65313059007100011229107,BPG 135 DINKES JATIM 04,31/01/2024,0.00, 251.186.994.059.21, , 
93, DINAS KESEHATAN,8100120590081000,BPG 135 DINAS KESEHATAN,31/01/2024,0.00, 251.186.994.059.21, , 
94,BALAI BESAR LABKES SBY,8100124156021000,BPG 135 BALAI BESAR LABKES SBY,31/01/2024,0.00, 251.186.994.059.21, , 
95,KANTOR KESEHATAN PELABUHAN SBY,9890384161201000,BPG 135 KANTOR KESEHATAN PELABUHAN SBY,31/01/2024,66.042.259.00, 251.186.994.059.21, , 
96,BPFK SURABAYA,8100125527131000,BPG 135 BPFK SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
97,BBTKLPP Surabaya,8100125601271000,BPG 135 BBTKLPP Surabaya,31/01/2024,0.00, 251.186.994.059.21, , 
98, POLTEKKES SBY,9896686375881000,BPG 135 POLTEKKES SBY,31/01/2024,0.00, 251.186.994.059.21, , 
99,ASRAMA HAJI SURABAYA,8100123525441000,BPG 135 ASRAMA HAJI SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
100,KEMENAG SBY 417816,652594178161000,BPG 135 KEMENAG SBY 417816,31/01/2024,11.844.500.00, 251.186.994.059.21, , 
101,KEMENAG SBY 417817,653004178171000,BPG 135 KEMENAG SBY 417817,31/01/2024,0.00, 251.186.994.059.21, , 
102,KEMENAG SBY 417818,652734178181000,BPG 135 KEMENAG SBY 417818,31/01/2024,3.863.797.00, 251.186.994.059.21, , 
103,KEMENAG SBY 417819,653614178191000,BPG 135 KEMENAG SBY 417819,31/01/2024,0.00, 251.186.994.059.21, , 
104, KEMENAG SBY 417820,651814178201000,BPG 135 KEMENAG SBY 417820,31/01/2024,0.00, 251.186.994.059.21, , 
105, KEMENAG SBY 417821,653624178211000 ,BPG 135 KEMENAG SBY 417821,31/01/2024,0.00, 251.186.994.059.21, , 
106,KEMENAG GRESIK 417822,652594178221000,BPG 135 KEMENAG GRESIK 417822,31/01/2024,0.00, 251.186.994.059.21, , 
107,KEMENAG SBY 417823,651884178231000,BPG 135 KEMENAG SBY 417823,31/01/2024,0.00, 251.186.994.059.21, , 
108,KEMENAG SBY 417824,653584178241000,BPG 135 KEMENAG SBY 417824,31/01/2024,0.00, 251.186.994.059.21, , 
109,KEMENAG GRESIK 417825,653004178251000,BPG 135 KEMENAG GRESIK 417825,31/01/2024,0.00, 251.186.994.059.21, , 
110,KEMENAG GRESIK 417826,652734178261000,BPG 135 KEMENAG GRESIK 417826,31/01/2024,0.00, 251.186.994.059.21, , 
111,KEMENAG GRESIK 417830,653594178301000,BPG 135 KEMENAG GRESIK 417830,31/01/2024,0.00, 251.186.994.059.21, , 
112,UIN SUNAN AMPEL SURABAYA,80060004237701000,BPG 135 UIN SUNAN AMPEL SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
113, MAN SURABAYA,8100124238431000,BPG 135 MAN SURABAYA,31/01/2024,14.058.072.00, 251.186.994.059.21, , 
114,BDK KEAGAMAAN SURABAYA,653214253811000,BPG 135 BDK KEAGAMAAN SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
115, MTSN 1 SBY,652734257151000,BPG 135 MTSN 1 SBY,31/01/2024,0.00, 251.186.994.059.21, , 
116, MTSN GRESIK,8100544257211000,BPG 135 MTSN GRESIK,31/01/2024,35.969.554.00, 251.186.994.059.21, , 
117, MTSN II SURABAYA,8100124257771000,BPG 135 MTSN II SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
118,MAN I GRESIK,652734258401000,BPG 135 MAN I GRESIK,31/01/2024,2.968.338.00, 251.186.994.059.21, , 
119,MTSN 3 KOTA SURABAYA,652735736031000,BPG 135 MTSN 3 KOTA SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
120, MAN 2 GRESIK,8100545989861000,BPG 135 MAN 2 GRESIK,31/01/2024,39.000.000.00, 251.186.994.059.21, , 
121, MTS NEGERI 4 KOTA SURABAYA,8100126055081000,BPG 135 MTS NEGERI 4 KOTA SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
122, DNS KLT&PRK JATIM 01DK,8100120500641000,BPG 135 DNS KLT&PRK JATIM 01DK,31/01/2024,0.00, 251.186.994.059.21, , 
123,DNS KLT&PRK JATIM 03DK,0590301000,BPG 135 DNS KLT&PRK JATIM 03DK,31/01/2024,0.00, 251.186.994.059.21, , 
124,DNS KLTN&PRK JATIM 04DK,0590311000,BPG 135 DNS KLTN&PRK JATIM 04DK,31/01/2024,0.00, 251.186.994.059.21, , 
125,DISKANLA JATIM 059032,0590321000,BPG 135 DISKANLA JATIM 059032,31/01/2024,0.00, 251.186.994.059.21, , 
126,DNS KLTN&PRKN JATIM 06,0590331000,BPG 135 DNS KLTN&PRKN JATIM 06,31/01/2024,0.00, 251.186.994.059.21, , 
127, DINAS KP PROV JATIM,0590341000,BPG 135 DINAS KP PROV JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
128,DINAS KP PROV JATIM,0591901000,BPG 135 DINAS KP PROV JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
129,DINAS PERIKANAN KAB GRESIK,9891340590411000,BPG 135 DINAS PERIKANAN KAB GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
130, BKIPMKHP  SURABAYA II,8100126497881000,BPG 135 BKIPMKHP  SURABAYA II,31/01/2024,0.00, 251.186.994.059.21, , 
131,BAPPEDA JATIM 050060,80005000500601000,BPG 135 BAPPEDA JATIM 050060,31/01/2024,0.00, 251.186.994.059.21, , 
132,BALMON SPEKTRUM FREK RADIO SBY,8100126134131000,BPG 135 BALMON SPEKTRUM FREK RADIO SBY,31/01/2024,49.654.485.00, 251.186.994.059.21, , 
133, RS BHAYANGKARA M DAHLAN SBY,652370551371000,BPG 135 RS BHAYANGKARA M DAHLAN SBY,31/01/2024,0.00, 251.186.994.059.21, , 
134, BIDKUM POLDA JATIM,8100125367411000,BPG 135 BIDKUM POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
135,BIDHUMAS POLDA JATIM,8100125367421000,BPG 135 BIDHUMAS POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
136, DITLANTAS POLDA JATIM,8100126439411000,BPG 135 DITLANTAS POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
137,POLRESTABES SURABAYA,8100126440651000,BPG 135 POLRESTABES SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
138, SPRIPIM POLDA JATIM,8100126438801000,BPG 135 SPRIPIM POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
139,BIROOPS POLDA JATIM,8100126438941000,BPG 135 BIROOPS POLDA JATIM,31/01/2024,7.789.708.500.00, 251.186.994.059.21, , 
140,YANMA POLDA JATIM,8100126439021000,BPG 135 YANMA POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
141, DIT INTELKAM POLDA JATIM,8100126439161000,BPG 135 DIT INTELKAM POLDA JATIM,31/01/2024,42.745.000.00, 251.186.994.059.21, , 
142, DITRESKRIMUM POLDA JATIM,8100126439201000,BPG 135 DITRESKRIMUM POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
143,DITSAMAPTA POLDA JATIM,8100126439371000,BPG 135 DITSAMAPTA POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
144,ROSDM POLDA JATIM,8100126439621000,BPG 135 ROSDM POLDA JATIM,31/01/2024,29.697.000.00, 251.186.994.059.21, , 
145,ROLOG POLDA JATIM,8100126439901000,BPG 135 ROLOG POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
146,DITPOLAIR POLDA JATIM,652376440191000,BPG 135 DITPOLAIR POLDA JATIM,31/01/2024, , 251.186.994.059.21, , 
147, BIDKEU POLDA JATIM,8100126440231000,BPG 135 BIDKEU POLDA JATIM,31/01/2024, 2.602.749.00, 251.186.994.059.21, , 
148, BIDKEU POLDA JATIM,654606440231000,BPG 135 BIDKEU POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
149,BIDDOKKES POLDA JATIM,8100126440301000,BPG 135 BIDDOKKES POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
150,LABFOR CAB SURABAYA,8100126440511000,BPG 135 LABFOR CAB SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
151, POLRES GRESIK,8100126444591000,BPG 135 POLRES GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
152,BIDPROPAM POLDA JATIM,652376511141000,BPG 135 BIDPROPAM POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
153, BID TIK POLDA JATIM,8100126511211000,BPG 135 BID TIK POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
154, DITRESNARKOBA POLDA JATIM,8100126511771000,BPG 135 DITRESNARKOBA POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
155,DITBINMAS POLDA JATIM,8100126766301000,BPG 135 DITBINMAS POLDA JATIM,31/01/2024,10.760.000.00, 251.186.994.059.21, , 
156, ITWASDA POLDA JATIM,8100126786121000,BPG 135 ITWASDA POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
157,RORENA POLDA JATIM,8100126786261000,BPG 135 RORENA POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
158,DITRESKRIMSUS POLDA JATIM,8100126786471000,BPG 135 DITRESKRIMSUS POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
159,DITPAMOBVIT POLDA JATIM,8100126796001000,BPG 135 DITPAMOBVIT POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
160,POLRES PELABUHAN TANJUNG PERAK,652506444911000,BPG 135 POLRES PELABUHAN TANJUNG PERAK,31/01/2024,320.000.000.00, 251.186.994.059.21, , 
161,RUMKIT BHAYANGKARA SBY 651135,652506511351000,BPG 135 RUMKIT BHAYANGKARA SBY 651135,31/01/2024,192.486.299.00, 251.186.994.059.21, , 
162, BALAI BPOM SBY,650234327841000,BPG 135 BALAI BPOM SBY,31/01/2024,21.113.300.00, 251.186.994.059.21, , 
163, BNN KAB GRESIK,8100126896391000,BPG 135 BNN KAB GRESIK,31/01/2024,45.044.035.00, 251.186.994.059.21, , 
164,BNN PASURUAN,8100124037151000,BPG 135 BNN PASURUAN,31/01/2024,0.00, 251.186.994.059.21, , 
165,STAMET MRTM TJPERAK,9890922890051000,BPG 135 STAMET MRTM TJPERAK,31/01/2024,0.00, 251.186.994.059.21, , 
166, STAMET SANGKAPR BAW EAN,652564369051000,BPG 135 STAMET SANGKAPR BAW EAN,31/01/2024,0.00, 251.186.994.059.21, , 
167, DISPERINDAG JATIM 02,8100120591121000,BPG 135 DISPERINDAG JATIM 02,31/01/2024,0.00, 251.186.994.059.21, , 
168,DISPERINDAG JATIM 03,8100120590251000,BPG 135 DISPERINDAG JATIM 03,31/01/2024,0.00, 251.186.994.059.21, , 
169,DISKUMPERDAG KAB GRESIK,9890770501491000,BPG 135 DISKUMPERDAG KAB GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
170, RRI SURABAYA,652457001631000,BPG 135 RRI SURABAYA,31/01/2024,60.000.000.00, 251.186.994.059.21, , 
,TVRI STASIUN JATIM,651977002191000,BPG 135 TVRI STASIUN JATIM,31/01/2024,62.712.514.00, 251.186.994.059.21, , 
173,DPKP PROV JATIM,654236907031000,BPG 135 DPKP PROV JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
174, BBLKM SURABAYA,8100126907831000,BPG 135 BBLKM SURABAYA,31/01/2024,, 251.186.994.059.21, , 
175, DINKES JATIM 01 KESMAS,0500091001,BPP 135 DINKES JATIM 01 KESMAS,31/01/2024,0.00, 251.186.994.059.21, , 
176, DINKES JATIM 01 JKN,0500091002,BPP 135 DINKES JATIM 01 JKN,31/01/2024,0.00, 251.186.994.059.21, , 
177, DINKES JATIM 01 P3,0500091003,BPP 135 DINKES JATIM 01 P3,31/01/2024,0.00, 251.186.994.059.21, , 
178, DINKES JATIM 01 LATVOK,0500091004,BPP 135 DINKES JATIM 01 LATVOK,31/01/2024,0.00, 251.186.994.059.21, , 
179,MIN 1 SURABAYA,652744178181001,BPP 135 MIN 1 SURABAYA,31/01/2024,33.863.797.00, 251.186.994.059.21, , 
180, MIN 2 SURABAYA,652744178181002,BPP 135 MIN 2 SURABAYA,31/01/2024,53.863.797.00, 251.186.994.059.21, , 
181,BLU PUSVETMA UNTUK OPS,1420014816689,L 135 BLU PUSVETMA UNTUK OPS,31/01/2024,0.00, 251.186.994.059.21, , 
182,BLU PUSVETMA UNTUK PKE,1420014816739,L 135 BLU PUSVETMA UNTUK PKE,31/01/2024,0.00, 251.186.994.059.21, , 
183,PUSVETMA. UTK DANA KELOLAAN BLU,1420014816713,L 135 PUSVETMA. UTK DANA KELOLAAN BLU,31/01/2024,0.00, 251.186.994.059.21, , 
184,BLU PUSVETMA UNTUK OPS,1420016175423,L 135 BLU PUSVETMA UNTUK OPS,31/01/2024,0.00, 251.186.994.059.21, , 
185, BLU PUSVETMA UTK PKD,097601004255406,L 135 BLU PUSVETMA UTK PKD,31/01/2024,0.00, 251.186.994.059.21, , 
186,BLU PUSVETMA SBY UNTUK PKD ,0167DEP2020IDR000892,L 135 BLU PUSVETMA SBY UNTUK PKD ,31/01/2024,0.00, 251.186.994.059.21, , 
187,BLU PUSVETMA SBY UNTUK PKD ,A821851/0167DEP2021IDR000384,L 135 BLU PUSVETMA SBY UNTUK PKD ,31/01/2024,4.000.000.000.00, 251.186.994.059.21, , 
188, BLU PUSVETMA SBY UNTUK PKD ,0005801400038779,L 135 BLU PUSVETMA SBY UNTUK PKD ,31/01/2024,0.00, 251.186.994.059.21, , 
189, BLU PUSVETMA SBY UNTUK PKD ,0005801400039149,L 135 BLU PUSVETMA SBY UNTUK PKD ,31/01/2024,0.00, 251.186.994.059.21, , 
190,BLU PUSVETMA SBY UNTUK PKD ,0167DEP2022IDR000181,L 135 BLU PUSVETMA SBY UNTUK PKD ,31/01/2024,0.00, 251.186.994.059.21, , 
