No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
19.0, PENGADILAN NEGERI GRESIK 03,654440991381000,BPG 135 PENGADILAN NEGERI GRESIK 03,31/01/2024,0.0,25118699405921.0,0.0,0.0
20.0, PT SBY 099132,654440991321000,BPG 135 PT SBY 099132,31/01/2024,0.0,25118699405921.0,0.0,0.0
21.0,PN SURABAYA,39301300002044,BPG 135 PN SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
22.0,PTA SURABAYA QQ 01,653243081701000,BPG 135 PTA SURABAYA QQ 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
23.0, PTA SURABAYA QQ 04,651543091251000,BPG 135 PTA SURABAYA QQ 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
24.0,PENGADILAN AGAMA SURABAYA QQ 01,653244012401000,BPG 135 PENGADILAN AGAMA SURABAYA QQ 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
25.0,PENGADILAN AGAMA SURABAYA QQ 04,653194012411000,BPG 135 PENGADILAN AGAMA SURABAYA QQ 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
26.0,PENGADILAN AGAMA BAWEAN 01,653254012871000,BPG 135 PENGADILAN AGAMA BAWEAN 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
27.0,PENGADILAN AGAMA BAWEAN 04,651544012881000,BPG 135 PENGADILAN AGAMA BAWEAN 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
28.0,PENGADILAN AGAMA GRESIK,653244012931000,BPG 135 PENGADILAN AGAMA GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
29.0,PENGADILAN AGAMA GRESIK 04,651544012941000,BPG 135 PENGADILAN AGAMA GRESIK 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
30.0,PT TUN SBY 01,653255489401000,BPG 135 PT TUN SBY 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
31.0,PT TUN SBY 05,00000000772774770,BPG 135 PT TUN SBY 05,31/01/2024,0.0,25118699405921.0,0.0,0.0
32.0, PM TINGGI III SBY,653246633001000,BPG 135 PM TINGGI III SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
33.0, PM TINGGI III SBY,651556633011000,BPG 135 PM TINGGI III SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
34.0, DILMIL III 12 SBY,653256633141000,BPG 135 DILMIL III 12 SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
35.0, DILMIL III 12 SBY,651556633151000,BPG 135 DILMIL III 12 SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
36.0, SETDA JATIM 04,0011204619,BPG 135 SETDA JATIM 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
37.0,DINAS PMPTSP JATIM,9890244841531000,BPG 135 DINAS PMPTSP JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
38.0, BAPPEDA PROV JATIM,9890244841541000  ,BPG 135 BAPPEDA PROV JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
39.0, DENMADAM V/BRW,652843442591000,BPG 135 DENMADAM V/BRW,31/01/2024,0.0,25118699405921.0,0.0,0.0
40.0, ZIDAM V/BRAWIJAYA,652813442641000,BPG 135 ZIDAM V/BRAWIJAYA,31/01/2024,3414000000.0,25118699405921.0,0.0,0.0
41.0,BEKANGDAM V/BRAW IJAYA,652813442651000,BPG 135 BEKANGDAM V/BRAW IJAYA,31/01/2024,6000000000.0,25118699405921.0,0.0,0.0
42.0, PALDAM V/BRAW IJAYA,652813442661000,BPG 135 PALDAM V/BRAW IJAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
43.0, KOREM 084/BJ,652813442811000,BPG 135 KOREM 084/BJ,31/01/2024,9960000000.0,25118699405921.0,0.0,0.0
44.0,KODIM 0830/SURABAYA UTARA,652816850541000,BPG 135 KODIM 0830/SURABAYA UTARA,31/01/2024,0.0,25118699405921.0,0.0,0.0
45.0,KODIM 0831/SURABAYA TIMUR,652816850551000,BPG 135 KODIM 0831/SURABAYA TIMUR,31/01/2024,0.0,25118699405921.0,0.0,0.0
46.0, KODIM 0832/SURABAYA SELATAN,652816850571000,BPG 135 KODIM 0832/SURABAYA SELATAN,31/01/2024,0.0,25118699405921.0,0.0,0.0
47.0, PUSDIKLAT HANUDNAS,651663448151000,BPG 135 PUSDIKLAT HANUDNAS,31/01/2024,0.0,25118699405921.0,0.0,0.0
48.0, LANUD MULJONO,651663448401000,BPG 135 LANUD MULJONO,31/01/2024,0.0,25118699405921.0,0.0,0.0
49.0, KOGARTAP III/ SBY,8100126843351000,BPG 135 KOGARTAP III/ SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
50.0, BALAI HARTA PENINGGALAN SBY,9890680992991000,BPG 135 BALAI HARTA PENINGGALAN SBY,31/01/2024,717343100.0,25118699405921.0,0.0,0.0
51.0, KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,9890854087511000,BPG 135 KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,31/01/2024,802500000.0,25118699405921.0,0.0,0.0
52.0,KANWIL KEMENKUMHAM JATIM 408753,650894087531000,BPG 135 KANWIL KEMENKUMHAM JATIM 408753,31/01/2024,0.0,25118699405921.0,0.0,0.0
53.0, KANWIL KEMENKUMHAM JATIM 408754,650924087541000,BPG 135 KANWIL KEMENKUMHAM JATIM 408754,31/01/2024,0.0,25118699405921.0,0.0,0.0
54.0,KANWIL KEMENKUMHAM JATIM 408755,650854087551000,BPG 135 KANWIL KEMENKUMHAM JATIM 408755,31/01/2024,0.0,25118699405921.0,0.0,0.0
55.0,KANWIL KEMENKUMHAM JATIM 408756,650474087561000,BPG 135 KANWIL KEMENKUMHAM JATIM 408756,31/01/2024,0.0,25118699405921.0,0.0,0.0
56.0,KANWIL KEMENKUMHAM JATIM 408757,651064087571000,BPG 135 KANWIL KEMENKUMHAM JATIM 408757,31/01/2024,0.0,25118699405921.0,0.0,0.0
57.0, KANWIL KEMENKUMHAM JATIM 408758,653984087581000,BPG 135 KANWIL KEMENKUMHAM JATIM 408758,31/01/2024,0.0,25118699405921.0,0.0,0.0
58.0,KANWIL KEMENKUMHAM JATIM 408759,653574087591000,BPG 135 KANWIL KEMENKUMHAM JATIM 408759,31/01/2024,0.0,25118699405921.0,0.0,0.0
59.0,KANWIL KEMENKUMHAM JATIM 408760,653204087601000,BPG 135 KANWIL KEMENKUMHAM JATIM 408760,31/01/2024,0.0,25118699405921.0,0.0,0.0
60.0, KANIM TANJUNG PERAK SBY,9898014089531000,BPG 135 KANIM TANJUNG PERAK SBY,31/01/2024,11175579500.0,25118699405921.0,0.0,0.0
61.0,RUTAN GRESIK,650925678691000,BPG 135 RUTAN GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
62.0, RUDENIM SURABAYA,8100126646331000,BPG 135 RUDENIM SURABAYA,31/01/2024,553740400.0,25118699405921.0,0.0,0.0
63.0,DIPERTA DAN KP 050040,0500401000,BPG 135 DIPERTA DAN KP 050040,31/01/2024,0.0,25118699405921.0,0.0,0.0
64.0, DIPERTA DAN KP 059000,8100120590001000,BPG 135 DIPERTA DAN KP 059000,31/01/2024,0.0,25118699405921.0,0.0,0.0
65.0,DIPERTA DAN KP 059004,8100120590041000,BPG 135 DIPERTA DAN KP 059004,31/01/2024,0.0,25118699405921.0,0.0,0.0
66.0,DIPERTA DAN KP 059106,8100120591061000 ,BPG 135 DIPERTA DAN KP 059106,31/01/2024,0.0,25118699405921.0,0.0,0.0
67.0, DIPERTA DAN KP 059178,8100120591781000,BPG 135 DIPERTA DAN KP 059178,31/01/2024,0.0,25118699405921.0,0.0,0.0
68.0, DIPERTA DAN KP 059179,8100120591791000,BPG 135 DIPERTA DAN KP 059179,31/01/2024,0.0,25118699405921.0,0.0,0.0
69.0,DISBUN JATIM 05DK,0591141000,BPG 135 DISBUN JATIM 05DK,31/01/2024,0.0,25118699405921.0,0.0,0.0
70.0,DISBUN JATIM 05TP,0591801000,BPG 135 DISBUN JATIM 05TP,31/01/2024,0.0,25118699405921.0,0.0,0.0
71.0,DNS PETERNAKAN JATIM 06 TP,80047000591811000,BPG 135 DNS PETERNAKAN JATIM 06 TP,31/01/2024,0.0,25118699405921.0,0.0,0.0
72.0, DIPERTA DAN KP 059185,8100120591851000,BPG 135 DIPERTA DAN KP 059185,31/01/2024,0.0,25118699405921.0,0.0,0.0
73.0,DINAS PETERNAKAN JATIM (059186),9890780591861000,BPG 135 DINAS PETERNAKAN JATIM (059186),31/01/2024,0.0,25118699405921.0,0.0,0.0
74.0,DISBUN JATIM (059187),0591871000,BPG 135 DISBUN JATIM (059187),31/01/2024,0.0,25118699405921.0,0.0,0.0
75.0,DIPERTA DAN KP 059444,8100120594441000,BPG 135 DIPERTA DAN KP 059444,31/01/2024,0.0,25118699405921.0,0.0,0.0
76.0,BPG 135 PUSVETMA SBY,8100122375511000,BPG 135 PUSVETMA SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
77.0,STAS KARANTN PERTAN BANGKALAN,8100125673711000,BPG 135 STAS KARANTN PERTAN BANGKALAN,31/01/2024,0.0,25118699405921.0,0.0,0.0
78.0,PPIKM DISPERINDG JATIM,8100120590291000,BPG 135 PPIKM DISPERINDG JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
79.0,BARISTAND INDUSTRI SBY,9891152472111000,BPG 135 BARISTAND INDUSTRI SBY,31/01/2024,1062500000.0,25118699405921.0,0.0,0.0
80.0,BDI SURABAYA,8100125793441000,BPG 135 BDI SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
81.0,BPTD WILAYAH XI PROVINSI JATIM,9891204038511000,BPG 135 BPTD WILAYAH XI PROVINSI JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
82.0,KANTOR OTPEL UTAMA TJ PERAK,8100124128911000,BPG 135 KANTOR OTPEL UTAMA TJ PERAK,31/01/2024,0.0,25118699405921.0,0.0,0.0
83.0,KSOP GRESIK,9890274129051000,BPG 135 KSOP GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
84.0, DISTRIK NAVIGASI KELAS I SBY,8100124129511000,BPG 135 DISTRIK NAVIGASI KELAS I SBY,31/01/2024,4442800000.0,25118699405921.0,0.0,0.0
85.0,KESYAHBANDARAN UTAMA T PERAK SBY,9890274134281000,BPG 135 KESYAHBANDARAN UTAMA T PERAK SBY,31/01/2024,6000000000.0,25118699405921.0,0.0,0.0
86.0, KANPEL BAW EAN JATIM,6506944136891000,BPG 135 KANPEL BAW EAN JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
87.0,PPLP TANJUNG PERAK SBY,650695358411000,BPG 135 PPLP TANJUNG PERAK SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
88.0,BALAI TEKNIK PKERETAAPIAN JATIM,9891504673371000,BPG 135 BALAI TEKNIK PKERETAAPIAN JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
89.0,POLTEKBANG SURABAYA,8100125261811000,BPG 135 POLTEKBANG SURABAYA,31/01/2024,8868900.0,25118699405921.0,0.0,0.0
90.0, POLTEKPEL SURABAYA,9891465319541000,BPG 135 POLTEKPEL SURABAYA,31/01/2024,4950000000.0,25118699405921.0,0.0,0.0
91.0, DINKES JATIM 01,0500091000,BPG 135 DINKES JATIM 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
92.0, DINKES JATIM 04,65313059007100011229107,BPG 135 DINKES JATIM 04,31/01/2024,0.0,25118699405921.0,0.0,0.0
93.0, DINAS KESEHATAN,8100120590081000,BPG 135 DINAS KESEHATAN,31/01/2024,0.0,25118699405921.0,0.0,0.0
94.0,BALAI BESAR LABKES SBY,8100124156021000,BPG 135 BALAI BESAR LABKES SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
95.0,KANTOR KESEHATAN PELABUHAN SBY,9890384161201000,BPG 135 KANTOR KESEHATAN PELABUHAN SBY,31/01/2024,6604225900.0,25118699405921.0,0.0,0.0
96.0,BPFK SURABAYA,8100125527131000,BPG 135 BPFK SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
97.0,BBTKLPP Surabaya,8100125601271000,BPG 135 BBTKLPP Surabaya,31/01/2024,0.0,25118699405921.0,0.0,0.0
98.0, POLTEKKES SBY,9896686375881000,BPG 135 POLTEKKES SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
99.0,ASRAMA HAJI SURABAYA,8100123525441000,BPG 135 ASRAMA HAJI SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
100.0,KEMENAG SBY 417816,652594178161000,BPG 135 KEMENAG SBY 417816,31/01/2024,1184450000.0,25118699405921.0,0.0,0.0
101.0,KEMENAG SBY 417817,653004178171000,BPG 135 KEMENAG SBY 417817,31/01/2024,0.0,25118699405921.0,0.0,0.0
102.0,KEMENAG SBY 417818,652734178181000,BPG 135 KEMENAG SBY 417818,31/01/2024,386379700.0,25118699405921.0,0.0,0.0
103.0,KEMENAG SBY 417819,653614178191000,BPG 135 KEMENAG SBY 417819,31/01/2024,0.0,25118699405921.0,0.0,0.0
104.0, KEMENAG SBY 417820,651814178201000,BPG 135 KEMENAG SBY 417820,31/01/2024,0.0,25118699405921.0,0.0,0.0
105.0, KEMENAG SBY 417821,653624178211000 ,BPG 135 KEMENAG SBY 417821,31/01/2024,0.0,25118699405921.0,0.0,0.0
106.0,KEMENAG GRESIK 417822,652594178221000,BPG 135 KEMENAG GRESIK 417822,31/01/2024,0.0,25118699405921.0,0.0,0.0
107.0,KEMENAG SBY 417823,651884178231000,BPG 135 KEMENAG SBY 417823,31/01/2024,0.0,25118699405921.0,0.0,0.0
108.0,KEMENAG SBY 417824,653584178241000,BPG 135 KEMENAG SBY 417824,31/01/2024,0.0,25118699405921.0,0.0,0.0
109.0,KEMENAG GRESIK 417825,653004178251000,BPG 135 KEMENAG GRESIK 417825,31/01/2024,0.0,25118699405921.0,0.0,0.0
110.0,KEMENAG GRESIK 417826,652734178261000,BPG 135 KEMENAG GRESIK 417826,31/01/2024,0.0,25118699405921.0,0.0,0.0
111.0,KEMENAG GRESIK 417830,653594178301000,BPG 135 KEMENAG GRESIK 417830,31/01/2024,0.0,25118699405921.0,0.0,0.0
112.0,UIN SUNAN AMPEL SURABAYA,80060004237701000,BPG 135 UIN SUNAN AMPEL SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
113.0, MAN SURABAYA,8100124238431000,BPG 135 MAN SURABAYA,31/01/2024,1405807200.0,25118699405921.0,0.0,0.0
114.0,BDK KEAGAMAAN SURABAYA,653214253811000,BPG 135 BDK KEAGAMAAN SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
115.0, MTSN 1 SBY,652734257151000,BPG 135 MTSN 1 SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
116.0, MTSN GRESIK,8100544257211000,BPG 135 MTSN GRESIK,31/01/2024,3596955400.0,25118699405921.0,0.0,0.0
117.0, MTSN II SURABAYA,8100124257771000,BPG 135 MTSN II SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
118.0,MAN I GRESIK,652734258401000,BPG 135 MAN I GRESIK,31/01/2024,296833800.0,25118699405921.0,0.0,0.0
119.0,MTSN 3 KOTA SURABAYA,652735736031000,BPG 135 MTSN 3 KOTA SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
120.0, MAN 2 GRESIK,8100545989861000,BPG 135 MAN 2 GRESIK,31/01/2024,3900000000.0,25118699405921.0,0.0,0.0
121.0, MTS NEGERI 4 KOTA SURABAYA,8100126055081000,BPG 135 MTS NEGERI 4 KOTA SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
122.0, DNS KLT&PRK JATIM 01DK,8100120500641000,BPG 135 DNS KLT&PRK JATIM 01DK,31/01/2024,0.0,25118699405921.0,0.0,0.0
123.0,DNS KLT&PRK JATIM 03DK,0590301000,BPG 135 DNS KLT&PRK JATIM 03DK,31/01/2024,0.0,25118699405921.0,0.0,0.0
124.0,DNS KLTN&PRK JATIM 04DK,0590311000,BPG 135 DNS KLTN&PRK JATIM 04DK,31/01/2024,0.0,25118699405921.0,0.0,0.0
125.0,DISKANLA JATIM 059032,0590321000,BPG 135 DISKANLA JATIM 059032,31/01/2024,0.0,25118699405921.0,0.0,0.0
126.0,DNS KLTN&PRKN JATIM 06,0590331000,BPG 135 DNS KLTN&PRKN JATIM 06,31/01/2024,0.0,25118699405921.0,0.0,0.0
127.0, DINAS KP PROV JATIM,0590341000,BPG 135 DINAS KP PROV JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
128.0,DINAS KP PROV JATIM,0591901000,BPG 135 DINAS KP PROV JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
129.0,DINAS PERIKANAN KAB GRESIK,9891340590411000,BPG 135 DINAS PERIKANAN KAB GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
130.0, BKIPMKHP  SURABAYA II,8100126497881000,BPG 135 BKIPMKHP  SURABAYA II,31/01/2024,0.0,25118699405921.0,0.0,0.0
131.0,BAPPEDA JATIM 050060,80005000500601000,BPG 135 BAPPEDA JATIM 050060,31/01/2024,0.0,25118699405921.0,0.0,0.0
132.0,BALMON SPEKTRUM FREK RADIO SBY,8100126134131000,BPG 135 BALMON SPEKTRUM FREK RADIO SBY,31/01/2024,4965448500.0,25118699405921.0,0.0,0.0
133.0, RS BHAYANGKARA M DAHLAN SBY,652370551371000,BPG 135 RS BHAYANGKARA M DAHLAN SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
134.0, BIDKUM POLDA JATIM,8100125367411000,BPG 135 BIDKUM POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
135.0,BIDHUMAS POLDA JATIM,8100125367421000,BPG 135 BIDHUMAS POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
136.0, DITLANTAS POLDA JATIM,8100126439411000,BPG 135 DITLANTAS POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
137.0,POLRESTABES SURABAYA,8100126440651000,BPG 135 POLRESTABES SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
138.0, SPRIPIM POLDA JATIM,8100126438801000,BPG 135 SPRIPIM POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
139.0,BIROOPS POLDA JATIM,8100126438941000,BPG 135 BIROOPS POLDA JATIM,31/01/2024,778970850000.0,25118699405921.0,0.0,0.0
140.0,YANMA POLDA JATIM,8100126439021000,BPG 135 YANMA POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
141.0, DIT INTELKAM POLDA JATIM,8100126439161000,BPG 135 DIT INTELKAM POLDA JATIM,31/01/2024,4274500000.0,25118699405921.0,0.0,0.0
142.0, DITRESKRIMUM POLDA JATIM,8100126439201000,BPG 135 DITRESKRIMUM POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
143.0,DITSAMAPTA POLDA JATIM,8100126439371000,BPG 135 DITSAMAPTA POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
144.0,ROSDM POLDA JATIM,8100126439621000,BPG 135 ROSDM POLDA JATIM,31/01/2024,2969700000.0,25118699405921.0,0.0,0.0
145.0,ROLOG POLDA JATIM,8100126439901000,BPG 135 ROLOG POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
146.0,DITPOLAIR POLDA JATIM,652376440191000,BPG 135 DITPOLAIR POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
147.0, BIDKEU POLDA JATIM,8100126440231000,BPG 135 BIDKEU POLDA JATIM,31/01/2024,260274900.0,25118699405921.0,0.0,0.0
148.0, BIDKEU POLDA JATIM,654606440231000,BPG 135 BIDKEU POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
149.0,BIDDOKKES POLDA JATIM,8100126440301000,BPG 135 BIDDOKKES POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
150.0,LABFOR CAB SURABAYA,8100126440511000,BPG 135 LABFOR CAB SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
151.0, POLRES GRESIK,8100126444591000,BPG 135 POLRES GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
152.0,BIDPROPAM POLDA JATIM,652376511141000,BPG 135 BIDPROPAM POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
153.0, BID TIK POLDA JATIM,8100126511211000,BPG 135 BID TIK POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
154.0, DITRESNARKOBA POLDA JATIM,8100126511771000,BPG 135 DITRESNARKOBA POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
155.0,DITBINMAS POLDA JATIM,8100126766301000,BPG 135 DITBINMAS POLDA JATIM,31/01/2024,1076000000.0,25118699405921.0,0.0,0.0
156.0, ITWASDA POLDA JATIM,8100126786121000,BPG 135 ITWASDA POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
157.0,RORENA POLDA JATIM,8100126786261000,BPG 135 RORENA POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
158.0,DITRESKRIMSUS POLDA JATIM,8100126786471000,BPG 135 DITRESKRIMSUS POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
159.0,DITPAMOBVIT POLDA JATIM,8100126796001000,BPG 135 DITPAMOBVIT POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
160.0,POLRES PELABUHAN TANJUNG PERAK,652506444911000,BPG 135 POLRES PELABUHAN TANJUNG PERAK,31/01/2024,32000000000.0,25118699405921.0,0.0,0.0
161.0,RUMKIT BHAYANGKARA SBY 651135,652506511351000,BPG 135 RUMKIT BHAYANGKARA SBY 651135,31/01/2024,19248629900.0,25118699405921.0,0.0,0.0
162.0, BALAI BPOM SBY,650234327841000,BPG 135 BALAI BPOM SBY,31/01/2024,2111330000.0,25118699405921.0,0.0,0.0
163.0, BNN KAB GRESIK,8100126896391000,BPG 135 BNN KAB GRESIK,31/01/2024,4504403500.0,25118699405921.0,0.0,0.0
164.0,BNN PASURUAN,8100124037151000,BPG 135 BNN PASURUAN,31/01/2024,0.0,25118699405921.0,0.0,0.0
165.0,STAMET MRTM TJPERAK,9890922890051000,BPG 135 STAMET MRTM TJPERAK,31/01/2024,0.0,25118699405921.0,0.0,0.0
166.0, STAMET SANGKAPR BAW EAN,652564369051000,BPG 135 STAMET SANGKAPR BAW EAN,31/01/2024,0.0,25118699405921.0,0.0,0.0
167.0, DISPERINDAG JATIM 02,8100120591121000,BPG 135 DISPERINDAG JATIM 02,31/01/2024,0.0,25118699405921.0,0.0,0.0
168.0,DISPERINDAG JATIM 03,8100120590251000,BPG 135 DISPERINDAG JATIM 03,31/01/2024,0.0,25118699405921.0,0.0,0.0
169.0,DISKUMPERDAG KAB GRESIK,9890770501491000,BPG 135 DISKUMPERDAG KAB GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
170.0, RRI SURABAYA,652457001631000,BPG 135 RRI SURABAYA,31/01/2024,6000000000.0,25118699405921.0,0.0,0.0
,TVRI STASIUN JATIM,651977002191000,BPG 135 TVRI STASIUN JATIM,31/01/2024,6271251400.0,25118699405921.0,0.0,0.0
173.0,DPKP PROV JATIM,654236907031000,BPG 135 DPKP PROV JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
174.0, BBLKM SURABAYA,8100126907831000,BPG 135 BBLKM SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
175.0, DINKES JATIM 01 KESMAS,0500091001,BPP 135 DINKES JATIM 01 KESMAS,31/01/2024,0.0,25118699405921.0,0.0,0.0
176.0, DINKES JATIM 01 JKN,0500091002,BPP 135 DINKES JATIM 01 JKN,31/01/2024,0.0,25118699405921.0,0.0,0.0
177.0, DINKES JATIM 01 P3,0500091003,BPP 135 DINKES JATIM 01 P3,31/01/2024,0.0,25118699405921.0,0.0,0.0
178.0, DINKES JATIM 01 LATVOK,0500091004,BPP 135 DINKES JATIM 01 LATVOK,31/01/2024,0.0,25118699405921.0,0.0,0.0
179.0,MIN 1 SURABAYA,652744178181001,BPP 135 MIN 1 SURABAYA,31/01/2024,3386379700.0,25118699405921.0,0.0,0.0
180.0, MIN 2 SURABAYA,652744178181002,BPP 135 MIN 2 SURABAYA,31/01/2024,5386379700.0,25118699405921.0,0.0,0.0
181.0,BLU PUSVETMA UNTUK OPS,1420014816689,L 135 BLU PUSVETMA UNTUK OPS,31/01/2024,0.0,25118699405921.0,0.0,0.0
182.0,BLU PUSVETMA UNTUK PKE,1420014816739,L 135 BLU PUSVETMA UNTUK PKE,31/01/2024,0.0,25118699405921.0,0.0,0.0
